test_loss,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,combination,val,epoch,trial
0.37506563,82.44,76.46,67.74,68.55,83.44,82.44,81.79,comb_lr_2.293980298131184e-05_bs_128_hl_0_ls_128_d_0.1_a_mean_r_max,0.3652506212101263,149,11
0.36485732,83.24,80.58,66.49,68.27,84.86,83.24,82.42,comb_lr_0.0005009615137983939_bs_128_hl_2_ls_64_d_0.2_a_mean_r_mean,0.3656039031989434,41,12
0.37317589,82.78,66.22,67.15,66.11,82.7,82.78,81.86,comb_lr_0.0007126995609048574_bs_192_hl_2_ls_256_d_0.2_a_mean_r_max,0.366773779625478,9,5
0.37581838,82.54,66.79,66.35,65.42,82.89,82.54,81.37,comb_lr_0.0024973286104060573_bs_128_hl_3_ls_64_d_0.2_a_mean_r_max,0.3668409520212342,13,3
0.37245259,83.16,76.79,65.85,67.16,84.31,83.16,82.33,comb_lr_0.00044303752452182633_bs_192_hl_2_ls_160_d_0.1_a_mean_r_mean,0.3718625585670057,17,0
0.37664099,82.28,78.46,66.86,66.23,82.74,82.28,81.37,comb_lr_0.000910594402626528_bs_128_hl_1_ls_96_d_0.0_a_mean_r_max,0.3728870929164045,6,8
0.37633473,82.24,65.35,66.95,66.0,81.27,82.24,81.52,comb_lr_0.0012384930898256396_bs_64_hl_2_ls_192_d_0.0_a_mean_r_max,0.3730538918034118,3,21
0.37945458,83.15,66.9,66.89,66.02,83.66,83.15,82.12,comb_lr_0.004734989304499477_bs_256_hl_1_ls_224_d_0.2_a_mean_r_max,0.3786042455364676,4,1
0.38870094,82.66,76.14,68.51,68.86,83.6,82.66,82.05,comb_lr_1.633458761106948e-05_bs_64_hl_0_ls_224_d_0.3_a_mean_r_max,0.3791135965901263,149,30
0.37795911,82.98,79.17,66.44,67.56,84.07,82.98,82.08,comb_lr_0.0003677434662105214_bs_128_hl_1_ls_224_d_0.1_a_mean_r_mean,0.3804978417123065,13,4
0.3836647,82.12,75.57,64.73,66.34,82.43,82.12,81.32,comb_lr_2.5974599147866065e-05_bs_64_hl_1_ls_224_d_0.0_a_mean_r_mean,0.3870635549811756,91,22
0.38801522,82.15,76.53,65.04,66.21,82.89,82.15,81.25,comb_lr_0.00012334805700860025_bs_192_hl_1_ls_256_d_0.0_a_mean_r_mean,0.38911834359169,27,7
0.39702456,82.61,73.16,67.86,67.32,84.16,82.61,81.61,comb_lr_0.008499206771743687_bs_128_hl_3_ls_192_d_0.2_a_mean_r_max,0.3910204619169235,8,10
0.40318048,82.27,75.81,68.54,68.24,83.77,82.27,81.61,comb_lr_1.8579237578286074e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.3961690344354686,145,29
0.40671496,82.03,76.53,68.51,68.19,83.69,82.03,81.44,comb_lr_1.5956282297943347e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.4001813714995104,147,25
0.40745266,82.0,76.28,68.24,67.89,83.62,82.0,81.32,comb_lr_1.5236602363973994e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.4011321955305688,148,26
0.4171525,81.66,75.78,68.44,68.09,83.36,81.66,81.16,comb_lr_1.3933678598880036e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.4123466187978492,149,24
0.43059493,81.11,76.16,67.87,67.61,82.72,81.11,80.61,comb_lr_1.1508094377692609e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.4264882092966753,147,23
0.55167197,78.63,61.91,49.22,47.19,80.94,78.63,74.61,comb_lr_1.1292807087547413e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.5533032323069432,20,28
0.57348837,79.31,70.9,49.64,47.68,82.13,79.31,75.89,comb_lr_1.1565813061512677e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.5718470055829076,20,27
1.32633595,66.4,34.73,37.04,34.83,57.5,66.4,60.34,comb_lr_1.633458761106948e-05_bs_64_hl_0_ls_224_d_0.3_a_mean_r_max,1.338157156811041,0,20
