test_loss,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,combination,val,epoch,trial
0.19413193,92.05,75.94,74.56,75.15,92.33,92.05,92.07,comb_lr_5.8453747188452804e-05_bs_256_hl_3_ls_160_d_0.1_a_mean_r_mean,0.1984194153583193,149,18
0.20114111,91.86,75.86,74.84,75.27,92.17,91.86,91.87,comb_lr_0.00017344011603780975_bs_256_hl_3_ls_192_d_0.1_a_mean_r_mean,0.2042887806892395,66,19
0.21105089,91.09,75.77,72.26,73.67,91.59,91.09,91.02,comb_lr_0.00044303752452182633_bs_192_hl_2_ls_160_d_0.1_a_mean_r_mean,0.2149928844787857,26,0
0.21196276,91.11,77.8,70.12,72.74,91.42,91.11,91.06,comb_lr_0.0003677434662105214_bs_128_hl_1_ls_224_d_0.1_a_mean_r_mean,0.2174462702689749,30,4
0.21654474,90.24,76.91,69.8,72.53,90.87,90.24,90.09,comb_lr_0.0007126995609048574_bs_192_hl_2_ls_256_d_0.2_a_mean_r_max,0.2196796768090941,20,5
0.21191816,90.99,78.24,70.46,73.22,91.39,90.99,90.94,comb_lr_0.0024973286104060573_bs_128_hl_3_ls_64_d_0.2_a_mean_r_max,0.2223431666692098,39,3
0.22368837,90.96,76.11,71.92,73.67,91.4,90.96,90.94,comb_lr_3.706245193140909e-05_bs_256_hl_3_ls_160_d_0.3_a_mean_r_max,0.2306700941309871,149,16
0.22409685,90.69,77.59,70.76,73.16,91.03,90.69,90.66,comb_lr_0.0012384930898256396_bs_64_hl_2_ls_192_d_0.0_a_mean_r_max,0.2356812054573586,3,6
0.2262283,90.58,76.17,72.66,74.12,91.07,90.58,90.53,comb_lr_0.004734989304499477_bs_256_hl_1_ls_224_d_0.2_a_mean_r_max,0.2363772333027368,13,1
0.23506794,90.02,75.78,69.99,72.17,90.38,90.02,89.94,comb_lr_0.000910594402626528_bs_128_hl_1_ls_96_d_0.0_a_mean_r_max,0.2457004091956398,8,8
0.24546144,90.7,73.73,73.5,73.56,91.0,90.7,90.73,comb_lr_0.00012334805700860025_bs_192_hl_1_ls_256_d_0.0_a_mean_r_mean,0.2485361878167499,38,7
0.24443854,89.32,73.52,70.94,71.66,90.45,89.32,89.33,comb_lr_0.0001165432152464628_bs_128_hl_0_ls_64_d_0.2_a_mean_r_max,0.2543231336456356,119,15
0.25087451,89.42,74.08,71.35,72.24,90.34,89.42,89.45,comb_lr_7.898921114720974e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.2612988071459712,90,12
0.25002747,89.63,73.23,72.39,72.75,89.88,89.63,89.65,comb_lr_2.5974599147866065e-05_bs_64_hl_1_ls_224_d_0.0_a_mean_r_mean,0.2623795528529268,83,9
0.26084693,87.96,74.64,68.54,70.2,89.98,87.96,87.84,comb_lr_4.667229062159278e-05_bs_256_hl_3_ls_160_d_0.3_a_mean_r_max,0.2649600504033537,136,17
0.26929385,88.78,74.07,70.19,71.51,89.89,88.78,88.77,comb_lr_4.334217982401277e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.2730959879403764,100,13
0.28921071,88.33,73.28,70.73,71.42,89.54,88.33,88.32,comb_lr_1.633458761106948e-05_bs_64_hl_0_ls_224_d_0.3_a_mean_r_max,0.291903949506355,109,2
0.30379373,88.27,72.85,70.17,71.03,89.26,88.27,88.26,comb_lr_1.1565813061512718e-05_bs_128_hl_0_ls_128_d_0.3_a_mean_r_max,0.3071134052493355,144,14
0.30421192,87.79,73.19,70.02,70.7,89.52,87.79,87.72,comb_lr_1.2013176371650857e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.3078874346771926,148,11
0.31324549,87.96,73.94,69.62,71.12,89.14,87.96,87.93,comb_lr_1.1508094377692609e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.3166905011417287,110,10
