test_loss,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,combination,val,epoch,trial
0.31701332,89.08,70.71,55.37,57.32,88.6,89.08,87.5,comb_lr_0.00044303752452182633_bs_192_hl_2_ls_160_d_0.1_a_mean_r_mean,0.3104921605276025,117,0
0.31850685,89.09,69.13,54.24,55.83,88.69,89.09,87.37,comb_lr_0.0002839122430900383_bs_192_hl_3_ls_128_d_0.1_a_mean_r_mean,0.3189155336307442,145,17
0.32297258,88.86,66.47,53.26,55.14,87.85,88.86,86.99,comb_lr_0.00031046019323636135_bs_192_hl_3_ls_128_d_0.1_a_mean_r_mean,0.3213102668523788,145,18
0.32479771,88.84,62.16,54.95,55.21,88.57,88.84,87.21,comb_lr_0.0003677434662105214_bs_128_hl_1_ls_224_d_0.1_a_mean_r_mean,0.3251222687354986,59,4
0.32857012,88.93,68.08,53.91,55.8,87.99,88.93,87.08,comb_lr_0.0007126995609048574_bs_192_hl_2_ls_256_d_0.2_a_mean_r_max,0.3256025256022163,33,5
0.33828022,88.7,67.05,54.32,56.11,87.82,88.7,87.06,comb_lr_0.004734989304499477_bs_256_hl_1_ls_224_d_0.2_a_mean_r_max,0.3336619785853794,51,1
0.34395003,88.45,62.39,53.73,54.78,87.4,88.45,86.69,comb_lr_0.000910594402626528_bs_128_hl_1_ls_96_d_0.0_a_mean_r_max,0.3361536573240722,24,8
0.35187428,88.45,63.03,53.59,54.94,87.39,88.45,86.94,comb_lr_0.0012384930898256396_bs_64_hl_2_ls_192_d_0.0_a_mean_r_max,0.3399110566554726,19,6
0.35046638,87.93,67.22,54.51,55.63,88.51,87.93,86.33,comb_lr_0.000170222425621392_bs_192_hl_3_ls_160_d_0.2_a_mean_r_mean,0.341362840131573,147,16
0.35072426,88.26,56.25,52.82,53.09,85.77,88.26,86.38,comb_lr_0.00017213322759107973_bs_256_hl_0_ls_160_d_0.2_a_mean_r_mean,0.3499119315828596,149,15
0.34984554,88.59,62.22,52.93,54.35,87.31,88.59,86.68,comb_lr_0.0024973286104060573_bs_128_hl_3_ls_64_d_0.2_a_mean_r_max,0.3518348608327948,73,3
0.34908339,88.13,55.97,51.79,52.49,85.73,88.13,86.2,comb_lr_0.0001328307918414281_bs_256_hl_0_ls_256_d_0.3_a_mean_r_mean,0.35235350387437,149,14
0.37291574,87.24,55.53,51.66,51.85,85.32,87.24,85.43,comb_lr_0.00010503533449916411_bs_256_hl_0_ls_256_d_0.3_a_mean_r_mean,0.3597413957118988,149,13
0.38683213,86.93,53.67,50.09,49.63,84.45,86.93,85.01,comb_lr_8.417738184271697e-05_bs_256_hl_0_ls_256_d_0.3_a_mean_r_mean,0.3717432413782392,149,11
0.40497224,87.53,48.35,44.73,45.21,83.97,87.53,84.96,comb_lr_1.633458761106948e-05_bs_64_hl_0_ls_224_d_0.3_a_mean_r_max,0.4171344513694445,149,2
0.46376746,85.52,59.06,52.13,53.06,84.73,85.52,84.01,comb_lr_0.00012334805700860025_bs_192_hl_1_ls_256_d_0.0_a_mean_r_mean,0.4334448284429052,148,7
0.39985714,87.03,52.99,52.01,51.24,84.64,87.03,85.02,comb_lr_0.009691897891421742_bs_192_hl_3_ls_96_d_0.1_a_mean_r_mean,0.4423981823998948,27,19
0.51554351,85.09,53.2,47.02,47.33,82.97,85.09,83.22,comb_lr_2.5974599147866065e-05_bs_64_hl_1_ls_224_d_0.0_a_mean_r_mean,0.4750310747303825,149,9
0.59349562,83.7,38.81,36.68,36.32,79.73,83.7,80.58,comb_lr_1.1508094377692609e-05_bs_64_hl_0_ls_128_d_0.3_a_mean_r_max,0.6045947560797567,149,10
1.30633187,61.15,19.45,21.26,19.45,52.68,61.15,55.37,comb_lr_5.974844743440473e-05_bs_256_hl_0_ls_192_d_0.3_a_mean_r_mean,1.3132915547915869,20,12
