test_loss,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,combination,val,epoch,trial
0.47941684,84.92,45.9,44.21,43.77,81.69,84.92,81.92,comb_lr_0.0012384930898256396_bs_64_hl_2_ls_192_d_0.0_a_mean_r_max,0.4721029032679165,8,6
0.46670261,84.8,47.35,46.6,45.68,82.26,84.8,81.99,comb_lr_0.00011788628822677578_bs_128_hl_0_ls_128_d_0.3_a_mean_r_max,0.5026253181345323,148,16
0.47466699,85.01,48.97,46.96,47.09,82.35,85.01,83.13,comb_lr_0.000910594402626528_bs_128_hl_1_ls_96_d_0.0_a_mean_r_max,0.5038005025947795,32,8
0.46062033,85.12,48.84,48.56,47.57,82.08,85.12,82.37,comb_lr_0.0024973286104060573_bs_128_hl_3_ls_64_d_0.2_a_mean_r_max,0.5098103898413041,52,3
0.47276437,85.38,56.55,49.56,50.37,83.87,85.38,83.82,comb_lr_0.0007126995609048574_bs_192_hl_2_ls_256_d_0.2_a_mean_r_max,0.5111577163139979,63,5
0.52871311,83.64,42.09,40.53,39.72,78.37,83.64,80.37,comb_lr_0.0003677434662105214_bs_128_hl_1_ls_224_d_0.1_a_mean_r_mean,0.526979048462475,23,4
0.46220485,85.16,47.49,47.34,46.83,82.01,85.16,82.88,comb_lr_0.00018100860826300528_bs_256_hl_3_ls_128_d_0.2_a_mean_r_max,0.5390694075160556,143,17
0.53015325,83.34,44.16,39.7,39.48,78.77,83.34,80.03,comb_lr_0.00044303752452182633_bs_192_hl_2_ls_160_d_0.1_a_mean_r_mean,0.5409863491853079,29,0
0.49640872,84.43,44.31,45.98,44.54,81.26,84.43,82.2,comb_lr_5.520170515747817e-05_bs_64_hl_0_ls_192_d_0.3_a_mean_r_max,0.5465790830990848,147,13
0.5017637,84.45,45.65,46.7,45.41,81.55,84.45,82.15,comb_lr_8.417738184271682e-05_bs_128_hl_0_ls_160_d_0.3_a_mean_r_max,0.5490358121254865,148,15
0.48610672,84.6,55.45,48.67,49.52,83.21,84.6,82.91,comb_lr_0.004734989304499477_bs_256_hl_1_ls_224_d_0.2_a_mean_r_max,0.5506689316696591,32,1
0.49638889,83.56,42.06,44.61,42.69,79.08,83.56,80.53,comb_lr_0.00022297096425378618_bs_256_hl_3_ls_128_d_0.2_a_mean_r_max,0.5586569044325087,76,19
0.52467652,83.56,42.66,42.69,42.18,78.94,83.56,80.52,comb_lr_5.520170515747817e-05_bs_64_hl_0_ls_192_d_0.3_a_mean_r_max,0.5678427999510485,120,12
0.49636903,84.24,44.35,46.16,44.71,79.6,84.24,81.21,comb_lr_0.0001619390688301651_bs_256_hl_3_ls_96_d_0.2_a_mean_r_max,0.5748972495396932,111,18
0.53860955,83.55,40.17,40.51,39.21,78.04,83.55,80.17,comb_lr_5.766271572272915e-05_bs_64_hl_0_ls_160_d_0.3_a_mean_r_mean,0.6018885251353768,146,14
0.62256373,81.43,38.85,38.34,37.4,76.51,81.43,78.2,comb_lr_0.00012334805700860025_bs_192_hl_1_ls_256_d_0.0_a_mean_r_mean,0.6099801311890284,77,7
0.68738248,80.81,31.88,34.98,33.07,73.78,80.81,76.79,comb_lr_2.5974599147866065e-05_bs_64_hl_1_ls_224_d_0.0_a_mean_r_mean,0.6420493082088583,149,9
0.72595953,79.17,30.56,35.64,31.9,75.26,79.17,76.2,comb_lr_1.633458761106948e-05_bs_64_hl_0_ls_224_d_0.3_a_mean_r_max,0.7591140813687268,146,2
0.99999453,71.99,17.78,21.95,19.52,58.92,71.99,64.4,comb_lr_1.3984158031666485e-05_bs_64_hl_0_ls_192_d_0.3_a_mean_r_mean,0.8939931357608122,149,11
1.15170807,70.09,17.27,21.4,19.0,57.08,70.09,62.58,comb_lr_1.1508094377692609e-05_bs_64_hl_0_ls_128_d_0.1_a_mean_r_mean,1.0414140960749458,149,10
1.77893224,51.63,13.95,15.55,13.24,45.33,51.63,43.51,comb_lr_3.309441277206891e-05_bs_192_hl_2_ls_128_d_0.3_a_mean_r_max,1.7418274581432345,20,20
