test_loss,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,combination,val,epoch,trial
0.52314923,82.84,46.62,43.6,43.18,79.4,82.84,79.11,comb_lr_0.0003677434662105214_bs_128_hl_1_ls_224_d_0.1_a_mean_r_mean,0.5280256965581108,68,4
0.51780796,82.68,47.19,43.82,43.42,80.32,82.68,79.11,comb_lr_0.00020629007096130533_bs_192_hl_3_ls_192_d_0.3_a_mean_r_mean,0.532791478069205,149,16
0.51890433,82.82,48.79,44.24,43.68,79.82,82.82,79.32,comb_lr_0.00044303752452182633_bs_192_hl_2_ls_160_d_0.1_a_mean_r_mean,0.5349019039095494,85,0
0.52083818,82.7,47.19,44.03,43.59,80.26,82.7,79.21,comb_lr_0.00020708645293511068_bs_192_hl_3_ls_192_d_0.3_a_mean_r_mean,0.5404288742625922,144,18
0.54792156,82.35,42.76,41.24,40.38,78.79,82.35,78.59,comb_lr_0.00010503533449916411_bs_192_hl_0_ls_160_d_0.1_a_mean_r_mean,0.5601701061976584,148,13
0.55142292,82.58,44.34,42.57,41.92,78.6,82.58,78.78,comb_lr_0.0001619390688301651_bs_192_hl_0_ls_160_d_0.0_a_mean_r_mean,0.5619983981575882,149,14
0.55061077,82.43,47.02,42.93,42.67,78.72,82.43,78.64,comb_lr_0.00012334805700860025_bs_192_hl_1_ls_256_d_0.0_a_mean_r_mean,0.5672329653773391,146,7
0.54801149,82.15,50.21,41.9,41.83,78.5,82.15,78.46,comb_lr_0.0007126995609048574_bs_192_hl_2_ls_256_d_0.2_a_mean_r_max,0.6141902459295172,32,5
0.59842677,80.96,49.05,41.87,41.76,77.43,80.96,77.39,comb_lr_0.0012384930898256396_bs_64_hl_2_ls_192_d_0.0_a_mean_r_max,0.6443979346011517,13,6
0.59239628,80.39,40.53,39.89,39.01,76.08,80.39,76.62,comb_lr_0.0024973286104060573_bs_128_hl_3_ls_64_d_0.2_a_mean_r_max,0.6482370643054738,52,3
0.60462378,80.51,47.23,41.63,41.5,77.92,80.51,76.85,comb_lr_0.004734989304499477_bs_256_hl_1_ls_224_d_0.2_a_mean_r_max,0.6497354271800019,41,1
0.61068376,80.47,43.95,40.77,40.37,76.19,80.47,77.04,comb_lr_0.000910594402626528_bs_128_hl_1_ls_96_d_0.0_a_mean_r_max,0.6925391242784612,22,8
0.66716659,79.83,37.55,35.45,34.81,74.41,79.83,75.38,comb_lr_8.588008292243842e-05_bs_256_hl_0_ls_128_d_0.1_a_mean_r_mean,0.6950276764326317,149,10
0.72675298,79.96,39.91,37.84,37.71,74.82,79.96,76.17,comb_lr_2.5974599147866065e-05_bs_64_hl_1_ls_224_d_0.0_a_mean_r_mean,0.7387430805426377,149,9
0.74080929,76.54,35.38,31.21,30.91,71.11,76.54,72.31,comb_lr_0.009691897891421742_bs_128_hl_3_ls_192_d_0.3_a_mean_r_mean,0.7872937812524683,40,19
0.85382859,73.9,39.84,35.27,34.8,73.66,73.9,69.99,comb_lr_1.633458761106948e-05_bs_64_hl_0_ls_224_d_0.3_a_mean_r_max,0.9397377491702696,149,2
1.49578931,53.64,15.53,14.28,11.85,49.03,53.64,44.66,comb_lr_9.462482742537139e-05_bs_256_hl_0_ls_128_d_0.0_a_mean_r_mean,1.5883446072423182,23,12
1.54671069,54.19,11.8,14.24,12.14,42.97,54.19,46.48,comb_lr_8.417738184271697e-05_bs_256_hl_0_ls_128_d_0.1_a_mean_r_mean,1.6396814612455146,21,11
1.70784745,49.92,9.73,13.13,10.99,37.27,49.92,42.04,comb_lr_4.103613761605462e-05_bs_192_hl_0_ls_160_d_0.1_a_mean_r_mean,1.807590810876144,20,15
2.3022723,29.16,5.54,7.36,5.61,21.65,29.16,21.79,comb_lr_1.0005538638344029e-05_bs_128_hl_3_ls_192_d_0.3_a_mean_r_mean,2.3679929340586945,20,17
